Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00084 Position: X=-0.7764188, Y=-0.4355807, Z=2.6831 
Frame 00085 Position: X=-0.7742441, Y=-0.4365969, Z=2.704981 
Frame 00086 Position: X=-0.7713497, Y=-0.4375281, Z=2.728572 
Frame 00087 Position: X=-0.7679722, Y=-0.4382577, Z=2.751406 
Frame 00088 Position: X=-0.7638206, Y=-0.4388256, Z=2.775149 
Frame 00089 Position: X=-0.759064, Y=-0.4391818, Z=2.798477 
Frame 00090 Position: X=-0.7537057, Y=-0.4393234, Z=2.820951 
Frame 00091 Position: X=-0.7481142, Y=-0.4392729, Z=2.841039 
Frame 00092 Position: X=-0.7413142, Y=-0.4390259, Z=2.862338 
Frame 00093 Position: X=-0.7335116, Y=-0.4385657, Z=2.883793 
Frame 00094 Position: X=-0.7251217, Y=-0.4379168, Z=2.904277 
Frame 00095 Position: X=-0.7154443, Y=-0.4370184, Z=2.925426 
Frame 00096 Position: X=-0.7001512, Y=-0.4353566, Z=2.954865 
Frame 00097 Position: X=-0.6891631, Y=-0.4340224, Z=2.973739 
Frame 00098 Position: X=-0.6799637, Y=-0.4328337, Z=2.988384 
Frame 00099 Position: X=-0.6603988, Y=-0.4301281, Z=3.016728 
Frame 00100 Position: X=-0.6516893, Y=-0.4288588, Z=3.028329 
Frame 00101 Position: X=-0.6348215, Y=-0.4263053, Z=3.049337 
Frame 00102 Position: X=-0.6165864, Y=-0.4234242, Z=3.070225 
Frame 00103 Position: X=-0.6084533, Y=-0.4221039, Z=3.079019 
Frame 00104 Position: X=-0.5940855, Y=-0.4197245, Z=3.093865 
Frame 00105 Position: X=-0.5787169, Y=-0.4171185, Z=3.108877 
Frame 00106 Position: X=-0.562736, Y=-0.4143496, Z=3.123652 
Frame 00107 Position: X=-0.5455059, Y=-0.4113021, Z=3.138743 
Frame 00108 Position: X=-0.5278978, Y=-0.4081292, Z=3.153372 
Frame 00109 Position: X=-0.5106688, Y=-0.4049711, Z=3.166998 
Frame 00110 Position: X=-0.4892076, Y=-0.4009705, Z=3.183129 
Frame 00111 Position: X=-0.4672411, Y=-0.3968058, Z=3.198788 
Frame 00112 Position: X=-0.4517045, Y=-0.3938203, Z=3.209399 
Frame 00113 Position: X=-0.4358485, Y=-0.3907418, Z=3.21987 
Frame 00114 Position: X=-0.4177929, Y=-0.3871994, Z=3.231389 
Frame 00115 Position: X=-0.3883887, Y=-0.3813519, Z=3.249327 
Frame 00116 Position: X=-0.3657004, Y=-0.3767776, Z=3.262547 
Frame 00117 Position: X=-0.35402, Y=-0.3744025, Z=3.269165 
Frame 00118 Position: X=-0.3223961, Y=-0.3679075, Z=3.286501 
Frame 00119 Position: X=-0.3100982, Y=-0.3653569, Z=3.293033 
Frame 00120 Position: X=-0.2892244, Y=-0.3609977, Z=3.303879 
Frame 00121 Position: X=-0.2669601, Y=-0.3563075, Z=3.315139 
Frame 00122 Position: X=-0.2382126, Y=-0.3501916, Z=3.32926 
Frame 00123 Position: X=-0.221392, Y=-0.3465829, Z=3.337325 
Frame 00124 Position: X=-0.1943444, Y=-0.3407345, Z=3.350026 
Frame 00125 Position: X=-0.1791221, Y=-0.3374186, Z=3.357042 
Frame 00126 Position: X=-0.155316, Y=-0.3321991, Z=3.367846 
Frame 00127 Position: X=-0.1212886, Y=-0.3246679, Z=3.382975 
Frame 00128 Position: X=-0.1056476, Y=-0.3211784, Z=3.389823 
Frame 00129 Position: X=-0.0714961, Y=-0.3135004, Z=3.404583 
Frame 00130 Position: X=-0.05113894, Y=-0.3088851, Z=3.413276 
Frame 00131 Position: X=-0.02815074, Y=-0.3036389, Z=3.423018 
Frame 00132 Position: X=-0.00651294, Y=-0.2986679, Z=3.432132 
Frame 00133 Position: X=0.02201074, Y=-0.2920656, Z=3.444086 
Frame 00134 Position: X=0.04952747, Y=-0.2856441, Z=3.455584 
Frame 00135 Position: X=0.06413513, Y=-0.2822132, Z=3.461682 
Frame 00136 Position: X=0.085962, Y=-0.27706, Z=3.470801 
Frame 00137 Position: X=0.107924, Y=-0.271841, Z=3.479997 
Frame 00138 Position: X=0.1443198, Y=-0.2631168, Z=3.495318 
Frame 00139 Position: X=0.158944, Y=-0.2595844, Z=3.501515 
Frame 00140 Position: X=0.1811247, Y=-0.2541966, Z=3.510975 
Frame 00141 Position: X=0.2058179, Y=-0.2481561, Z=3.521606 
Frame 00142 Position: X=0.2292338, Y=-0.2423844, Z=3.531806 
Frame 00143 Position: X=0.2529146, Y=-0.2365041, Z=3.542258 
Frame 00144 Position: X=0.2743732, Y=-0.2311368, Z=3.551865 
