Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00065 Rotation: X=-0.02395601, Y=0.06360669, Z=0.003258373, W=0.9976822 
Frame 00066 Rotation: X=-0.0249712, Y=0.0643316, Z=0.003396199, W=0.9976103 
Frame 00067 Rotation: X=-0.02590292, Y=0.06496897, Z=0.0035221, W=0.9975448 
Frame 00068 Rotation: X=-0.0269329, Y=0.0656404, Z=0.003660221, W=0.9974731 
Frame 00069 Rotation: X=-0.02791742, Y=0.06625055, Z=0.00379113, W=0.9974052 
Frame 00070 Rotation: X=-0.02912695, Y=0.06696434, Z=0.003950614, W=0.9973223 
Frame 00071 Rotation: X=-0.03048585, Y=0.06772276, Z=0.004128311, W=0.9972298 
Frame 00072 Rotation: X=-0.03142193, Y=0.06821643, Z=0.00424928, W=0.9971666 
Frame 00073 Rotation: X=-0.03261927, Y=0.06881346, Z=0.004401952, W=0.9970865 
Frame 00074 Rotation: X=-0.03400118, Y=0.06945904, Z=0.004575573, W=0.9969947 
Frame 00075 Rotation: X=-0.03532371, Y=0.07003807, Z=0.004739296, W=0.9969075 
Frame 00076 Rotation: X=-0.03668563, Y=0.07059792, Z=0.004905422, W=0.996818 
Frame 00077 Rotation: X=-0.03802674, Y=0.07111368, Z=0.005066343, W=0.9967303 
Frame 00078 Rotation: X=-0.03960457, Y=0.07167855, Z=0.00525234, W=0.9966274 
Frame 00079 Rotation: X=-0.04110627, Y=0.07217516, Z=0.005425599, W=0.9965298 
Frame 00080 Rotation: X=-0.04230884, Y=0.07254712, Z=0.005561974, W=0.9964517 
Frame 00081 Rotation: X=-0.044025, Y=0.07303637, Z=0.005752186, W=0.9963405 
Frame 00082 Rotation: X=-0.04560428, Y=0.07344696, Z=0.005922918, W=0.9962384 
Frame 00083 Rotation: X=-0.04725482, Y=0.07383741, Z=0.00609663, W=0.9961315 
Frame 00084 Rotation: X=-0.04857564, Y=0.07412353, Z=0.006232335, W=0.9960458 
Frame 00085 Rotation: X=-0.05004517, Y=0.07441442, Z=0.006379604, W=0.9959505 
Frame 00086 Rotation: X=-0.05158459, Y=0.07468856, Z=0.006529461, W=0.9958504 
Frame 00087 Rotation: X=-0.05358677, Y=0.07500003, Z=0.006717437, W=0.99572 
